id,from,subject,body,expected_priority
27,sender27@example.com,Insider threat detected,DLP system flagged large data exfiltration attempt from internal account. Suspend user immediately.,CRITICAL
28,sender28@example.com,SMS gateway completely down,SMS gateway down. OTP messages not delivered. All users requiring 2FA are locked out.,CRITICAL
29,sender29@example.com,Route optimization system failure,AI routing engine crashed. Drivers have no routes. 1000 deliveries at risk today.,CRITICAL
30,sender30@example.com,SCADA system breach,Industrial control system accessed by unauthorized party. Critical infrastructure at risk.,CRITICAL
31,sender31@example.com,Cooling system failure in server room,Temperature rising rapidly in server room. Cooling units failed. Hardware damage imminent.,CRITICAL
32,sender32@example.com,CDN provider major outage,CDN completely down. Website and app assets not loading for users globally.,CRITICAL
33,sender33@example.com,Multi region database failover failed,Automated failover to secondary region failed. Single point of failure with no redundancy.,CRITICAL
34,sender34@example.com,API keys exposed on GitHub,Engineer accidentally pushed live API keys to public GitHub repo. Rotate everything now.,CRITICAL
35,sender35@example.com,Kubernetes cluster unresponsive,Entire Kubernetes cluster stopped scheduling pods. All microservices degrading. Engineers needed.,CRITICAL
36,sender36@example.com,All services down after deployment,Latest deployment broke the entire platform. Millions of users affected. Rollback immediately.,CRITICAL
37,sender37@example.com,Database master node crashed,Primary database master node crashed. Replica not promoted automatically. All writes failing.,CRITICAL
38,sender38@example.com,Authentication service down,Login service completely down. No users can authenticate across any of our products.,CRITICAL
39,sender39@example.com,Critical memory leak causing crashes,Memory leak causing all servers to crash every 30 minutes. Cannot serve traffic at all.,CRITICAL
40,sender40@example.com,Firewall misconfiguration exposed data,Firewall rule change accidentally exposed our internal admin panel to the public internet.,CRITICAL
41,sender41@example.com,Production server on fire alert,Physical server in rack triggered fire suppression system. Emergency shutdown in progress.,CRITICAL
42,sender42@example.com,Email server blacklisted,Our email server IP blacklisted. No outbound emails delivering. All customer comms down.,CRITICAL
43,sender43@example.com,Entire DevOps team locked out,Permissions error locked all engineers out of codebase and deployment tools. Cannot fix anything.,CRITICAL
44,sender44@example.com,Critical data pipeline failure,Main ETL pipeline failed. Business intelligence dashboards showing stale data from 3 days ago.,CRITICAL
45,sender45@example.com,VPN gateway compromised,VPN gateway showing signs of compromise. Remote employees exposing internal network. Shut it down.,CRITICAL
46,sender46@example.com,License server down blocking all work,License server offline. All engineers blocked from using development tools. Work stopped.,CRITICAL
47,sender47@example.com,Satellite link failure,Primary satellite communication link down. Remote operations center completely isolated.,CRITICAL
48,sender48@example.com,Emergency alert system offline,Public emergency alert system offline. Cannot send warnings during active weather event.,CRITICAL
49,sender49@example.com,Hospital EHR system crashed,Electronic health records system crashed. Doctors reverting to paper. Patient safety at risk.,CRITICAL
50,sender50@example.com,Power grid monitoring system down,Power grid SCADA monitoring offline. Cannot detect faults or outages across the network.,CRITICAL
51,sender51@example.com,Biometric access system failure,Biometric entry system failed. Employees locked out of secure facilities. Operations halted.,CRITICAL
52,sender52@example.com,Trading platform halted,Automated trading platform halted due to critical error. Millions in positions unmanaged.,CRITICAL
53,sender53@example.com,Drone fleet emergency landing,All drones received erroneous emergency landing command. 200 active deliveries cancelled.,CRITICAL
54,sender54@example.com,Nuclear plant sensor network offline,Radiation monitoring sensor network offline. Safety compliance protocols require immediate fix.,CRITICAL
55,sender55@example.com,Water treatment system alert,Automated chemical dosing system throwing critical errors. Manual override required immediately.,CRITICAL
56,sender56@example.com,Traffic management system crash,City traffic management system crashed. All signals defaulting to flashing red. Gridlock forming.,CRITICAL
57,sender57@example.com,Satellite imaging pipeline down,Real time satellite imagery pipeline failed. Emergency response teams without visual data.,CRITICAL
58,sender58@example.com,All microservices returning 500,Every single microservice returning HTTP 500. Complete platform meltdown. All hands on deck.,CRITICAL
59,sender59@example.com,Customer PII exposed in API response,API bug exposing full customer PII including SSN in plain text response. Shut down endpoint now.,CRITICAL
60,sender60@example.com,Entire email marketing list leaked,Database misconfiguration exposed 2 million customer emails publicly. Legal and PR crisis.,CRITICAL
61,sender61@example.com,ERP system critical error,"ERP system throwing critical errors on all modules. Finance operations, HR and procurement all halted.",CRITICAL
62,sender62@example.com,Autonomous vehicle system failure,Fleet management system for autonomous vehicles throwing safety critical errors. Ground all vehicles.,CRITICAL
63,sender63@example.com,Production database is down,Our production database crashed. All users affected. Losing revenue every minute. Fix immediately.,CRITICAL
64,sender64@example.com,Security breach detected,Unauthorized access to our servers detected. Customer data compromised. Need immediate action.,CRITICAL
65,sender65@example.com,Website completely offline,All services unreachable. 5000 users cannot login. Emergency response needed now.,CRITICAL
66,sender66@example.com,Ransomware attack in progress,Files are being encrypted right now. All staff locked out. Need incident response immediately.,CRITICAL
67,sender67@example.com,SSL certificate expired,Our SSL certificate expired. All HTTPS traffic failing. Users getting security warnings.,CRITICAL
68,sender68@example.com,Payment processing down,All payment transactions failing. Customers cannot complete purchases. Losing $50000 per hour.,CRITICAL
69,sender69@example.com,Checkout system crashed,Entire checkout flow broken. No orders can be placed. Emergency fix needed now.,CRITICAL
70,sender70@example.com,Database corruption detected,Corrupted records found in main database. Data integrity at risk. Need DBA immediately.,CRITICAL
71,sender71@example.com,Network backbone failure,Core network switch failed. Thousands of customers without service. Escalate to level 3 now.,CRITICAL
72,sender72@example.com,Cloud infrastructure outage,All instances unreachable. Entire production environment down. Customers affected globally.,CRITICAL
73,sender73@example.com,Admin credentials leaked,Admin login credentials posted publicly online. Unauthorized logins happening right now.,CRITICAL
74,sender74@example.com,GPS tracking system offline,Entire fleet tracking system gone dark. 200 trucks untracked. Safety and legal emergency.,CRITICAL
75,sender75@example.com,Exam portal crashed during finals,Online exam system crashed mid exam for 3000 students. Need it restored in 10 minutes.,CRITICAL
76,sender76@example.com,ATM network completely down,All 500 ATMs offline. Customers cannot withdraw cash. Media already calling. Fix now.,CRITICAL
77,sender77@example.com,Live streaming platform down,Live streaming service crashed during major event with 100000 viewers. Revenue at stake.,CRITICAL
78,sender78@example.com,Medical device integration failure,Software connecting to ICU devices stopped responding. Patient monitoring affected.,CRITICAL
79,sender79@example.com,Zero day vulnerability found,Zero day exploit found in authentication system. Attackers can bypass login. Patch immediately.,CRITICAL
80,sender80@example.com,Load balancer failure,Load balancer failed causing all traffic to hit single server. System about to collapse.,CRITICAL
81,sender81@example.com,Mobile app crashing for all users,iOS and Android apps crashing on launch for 100% of users after latest update. Rollback now.,CRITICAL
82,sender82@example.com,CI CD pipeline completely broken,All deployments failing. Cannot push any fixes to production. Pipeline down for 3 hours.,CRITICAL
83,sender83@example.com,Backup system failure,Automated backups silently failing for 2 weeks. No recent backups exist. Disaster risk.,CRITICAL
84,sender84@example.com,Inventory system corrupted,Inventory database shows negative stock levels. Orders being placed for items we don't have.,CRITICAL
85,sender85@example.com,Flight booking system down,Reservation system crashed. Passengers cannot check in online. Flights departing in 2 hours.,CRITICAL
86,sender86@example.com,DDoS attack ongoing,Massive DDoS attack hitting us. Website and APIs completely unreachable. Activate incident response.,CRITICAL
87,sender87@example.com,Game servers offline during launch,Game servers crashed 30 minutes into official launch. 500000 players cannot connect.,CRITICAL
88,sender88@example.com,Core banking software failure,Core banking system in read only mode. No transactions can be processed right now.,CRITICAL
89,sender89@example.com,Insider threat detected,DLP system flagged large data exfiltration attempt from internal account. Suspend user immediately.,CRITICAL
90,sender90@example.com,SMS gateway completely down,SMS gateway down. OTP messages not delivered. All users requiring 2FA are locked out.,CRITICAL
91,sender91@example.com,Route optimization system failure,AI routing engine crashed. Drivers have no routes. 1000 deliveries at risk today.,CRITICAL
92,sender92@example.com,SCADA system breach,Industrial control system accessed by unauthorized party. Critical infrastructure at risk.,CRITICAL
93,sender93@example.com,Cooling system failure in server room,Temperature rising rapidly in server room. Cooling units failed. Hardware damage imminent.,CRITICAL
94,sender94@example.com,CDN provider major outage,CDN completely down. Website and app assets not loading for users globally.,CRITICAL
95,sender95@example.com,Multi region database failover failed,Automated failover to secondary region failed. Single point of failure with no redundancy.,CRITICAL
96,sender96@example.com,API keys exposed on GitHub,Engineer accidentally pushed live API keys to public GitHub repo. Rotate everything now.,CRITICAL
97,sender97@example.com,Kubernetes cluster unresponsive,Entire Kubernetes cluster stopped scheduling pods. All microservices degrading. Engineers needed.,CRITICAL
98,sender98@example.com,All services down after deployment,Latest deployment broke the entire platform. Millions of users affected. Rollback immediately.,CRITICAL
99,sender99@example.com,Database master node crashed,Primary database master node crashed. Replica not promoted automatically. All writes failing.,CRITICAL
100,sender100@example.com,Authentication service down,Login service completely down. No users can authenticate across any of our products.,CRITICAL
101,sender101@example.com,Critical memory leak causing crashes,Memory leak causing all servers to crash every 30 minutes. Cannot serve traffic at all.,CRITICAL
102,sender102@example.com,Firewall misconfiguration exposed data,Firewall rule change accidentally exposed our internal admin panel to the public internet.,CRITICAL
103,sender103@example.com,Production server on fire alert,Physical server in rack triggered fire suppression system. Emergency shutdown in progress.,CRITICAL
104,sender104@example.com,Email server blacklisted,Our email server IP blacklisted. No outbound emails delivering. All customer comms down.,CRITICAL
105,sender105@example.com,Entire DevOps team locked out,Permissions error locked all engineers out of codebase and deployment tools. Cannot fix anything.,CRITICAL
106,sender106@example.com,Critical data pipeline failure,Main ETL pipeline failed. Business intelligence dashboards showing stale data from 3 days ago.,CRITICAL
107,sender107@example.com,VPN gateway compromised,VPN gateway showing signs of compromise. Remote employees exposing internal network. Shut it down.,CRITICAL
108,sender108@example.com,License server down blocking all work,License server offline. All engineers blocked from using development tools. Work stopped.,CRITICAL
109,sender109@example.com,Satellite link failure,Primary satellite communication link down. Remote operations center completely isolated.,CRITICAL
110,sender110@example.com,Emergency alert system offline,Public emergency alert system offline. Cannot send warnings during active weather event.,CRITICAL
111,sender111@example.com,Hospital EHR system crashed,Electronic health records system crashed. Doctors reverting to paper. Patient safety at risk.,CRITICAL
112,sender112@example.com,Power grid monitoring system down,Power grid SCADA monitoring offline. Cannot detect faults or outages across the network.,CRITICAL
113,sender113@example.com,Biometric access system failure,Biometric entry system failed. Employees locked out of secure facilities. Operations halted.,CRITICAL
114,sender114@example.com,Trading platform halted,Automated trading platform halted due to critical error. Millions in positions unmanaged.,CRITICAL
115,sender115@example.com,Drone fleet emergency landing,All drones received erroneous emergency landing command. 200 active deliveries cancelled.,CRITICAL
116,sender116@example.com,Nuclear plant sensor network offline,Radiation monitoring sensor network offline. Safety compliance protocols require immediate fix.,CRITICAL
117,sender117@example.com,Water treatment system alert,Automated chemical dosing system throwing critical errors. Manual override required immediately.,CRITICAL
118,sender118@example.com,Traffic management system crash,City traffic management system crashed. All signals defaulting to flashing red. Gridlock forming.,CRITICAL
119,sender119@example.com,Satellite imaging pipeline down,Real time satellite imagery pipeline failed. Emergency response teams without visual data.,CRITICAL
120,sender120@example.com,All microservices returning 500,Every single microservice returning HTTP 500. Complete platform meltdown. All hands on deck.,CRITICAL
121,sender121@example.com,Customer PII exposed in API response,API bug exposing full customer PII including SSN in plain text response. Shut down endpoint now.,CRITICAL
122,sender122@example.com,Entire email marketing list leaked,Database misconfiguration exposed 2 million customer emails publicly. Legal and PR crisis.,CRITICAL
123,sender123@example.com,ERP system critical error,"ERP system throwing critical errors on all modules. Finance operations, HR and procurement all halted.",CRITICAL
124,sender124@example.com,Autonomous vehicle system failure,Fleet management system for autonomous vehicles throwing safety critical errors. Ground all vehicles.,CRITICAL
125,sender125@example.com,Production database is down,Our production database crashed. All users affected. Losing revenue every minute. Fix immediately.,CRITICAL
126,sender126@example.com,Security breach detected,Unauthorized access to our servers detected. Customer data compromised. Need immediate action.,CRITICAL
127,sender127@example.com,Website completely offline,All services unreachable. 5000 users cannot login. Emergency response needed now.,CRITICAL
128,sender128@example.com,Ransomware attack in progress,Files are being encrypted right now. All staff locked out. Need incident response immediately.,CRITICAL
129,sender129@example.com,SSL certificate expired,Our SSL certificate expired. All HTTPS traffic failing. Users getting security warnings.,CRITICAL
130,sender130@example.com,Payment processing down,All payment transactions failing. Customers cannot complete purchases. Losing $50000 per hour.,CRITICAL
131,sender131@example.com,Checkout system crashed,Entire checkout flow broken. No orders can be placed. Emergency fix needed now.,CRITICAL
132,sender132@example.com,Database corruption detected,Corrupted records found in main database. Data integrity at risk. Need DBA immediately.,CRITICAL
133,sender133@example.com,Network backbone failure,Core network switch failed. Thousands of customers without service. Escalate to level 3 now.,CRITICAL
134,sender134@example.com,Cloud infrastructure outage,All instances unreachable. Entire production environment down. Customers affected globally.,CRITICAL
135,sender135@example.com,Admin credentials leaked,Admin login credentials posted publicly online. Unauthorized logins happening right now.,CRITICAL
136,sender136@example.com,GPS tracking system offline,Entire fleet tracking system gone dark. 200 trucks untracked. Safety and legal emergency.,CRITICAL
137,sender137@example.com,Exam portal crashed during finals,Online exam system crashed mid exam for 3000 students. Need it restored in 10 minutes.,CRITICAL
138,sender138@example.com,ATM network completely down,All 500 ATMs offline. Customers cannot withdraw cash. Media already calling. Fix now.,CRITICAL
139,sender139@example.com,Live streaming platform down,Live streaming service crashed during major event with 100000 viewers. Revenue at stake.,CRITICAL
140,sender140@example.com,Medical device integration failure,Software connecting to ICU devices stopped responding. Patient monitoring affected.,CRITICAL
141,sender141@example.com,Zero day vulnerability found,Zero day exploit found in authentication system. Attackers can bypass login. Patch immediately.,CRITICAL
142,sender142@example.com,Load balancer failure,Load balancer failed causing all traffic to hit single server. System about to collapse.,CRITICAL
143,sender143@example.com,Mobile app crashing for all users,iOS and Android apps crashing on launch for 100% of users after latest update. Rollback now.,CRITICAL
144,sender144@example.com,CI CD pipeline completely broken,All deployments failing. Cannot push any fixes to production. Pipeline down for 3 hours.,CRITICAL
145,sender145@example.com,Backup system failure,Automated backups silently failing for 2 weeks. No recent backups exist. Disaster risk.,CRITICAL
146,sender146@example.com,Inventory system corrupted,Inventory database shows negative stock levels. Orders being placed for items we don't have.,CRITICAL
147,sender147@example.com,Flight booking system down,Reservation system crashed. Passengers cannot check in online. Flights departing in 2 hours.,CRITICAL
148,sender148@example.com,DDoS attack ongoing,Massive DDoS attack hitting us. Website and APIs completely unreachable. Activate incident response.,CRITICAL
149,sender149@example.com,Game servers offline during launch,Game servers crashed 30 minutes into official launch. 500000 players cannot connect.,CRITICAL
150,sender150@example.com,Core banking software failure,Core banking system in read only mode. No transactions can be processed right now.,CRITICAL
151,sender151@example.com,Insider threat detected,DLP system flagged large data exfiltration attempt from internal account. Suspend user immediately.,CRITICAL
152,sender152@example.com,SMS gateway completely down,SMS gateway down. OTP messages not delivered. All users requiring 2FA are locked out.,CRITICAL
153,sender153@example.com,Route optimization system failure,AI routing engine crashed. Drivers have no routes. 1000 deliveries at risk today.,CRITICAL
154,sender154@example.com,SCADA system breach,Industrial control system accessed by unauthorized party. Critical infrastructure at risk.,CRITICAL
155,sender155@example.com,Cooling system failure in server room,Temperature rising rapidly in server room. Cooling units failed. Hardware damage imminent.,CRITICAL
156,sender156@example.com,CDN provider major outage,CDN completely down. Website and app assets not loading for users globally.,CRITICAL
157,sender157@example.com,Multi region database failover failed,Automated failover to secondary region failed. Single point of failure with no redundancy.,CRITICAL
158,sender158@example.com,API keys exposed on GitHub,Engineer accidentally pushed live API keys to public GitHub repo. Rotate everything now.,CRITICAL
159,sender159@example.com,Kubernetes cluster unresponsive,Entire Kubernetes cluster stopped scheduling pods. All microservices degrading. Engineers needed.,CRITICAL
160,sender160@example.com,All services down after deployment,Latest deployment broke the entire platform. Millions of users affected. Rollback immediately.,CRITICAL
161,sender161@example.com,Database master node crashed,Primary database master node crashed. Replica not promoted automatically. All writes failing.,CRITICAL
162,sender162@example.com,Authentication service down,Login service completely down. No users can authenticate across any of our products.,CRITICAL
163,sender163@example.com,Critical memory leak causing crashes,Memory leak causing all servers to crash every 30 minutes. Cannot serve traffic at all.,CRITICAL
164,sender164@example.com,Firewall misconfiguration exposed data,Firewall rule change accidentally exposed our internal admin panel to the public internet.,CRITICAL
165,sender165@example.com,Production server on fire alert,Physical server in rack triggered fire suppression system. Emergency shutdown in progress.,CRITICAL
166,sender166@example.com,Email server blacklisted,Our email server IP blacklisted. No outbound emails delivering. All customer comms down.,CRITICAL
167,sender167@example.com,Entire DevOps team locked out,Permissions error locked all engineers out of codebase and deployment tools. Cannot fix anything.,CRITICAL
168,sender168@example.com,Critical data pipeline failure,Main ETL pipeline failed. Business intelligence dashboards showing stale data from 3 days ago.,CRITICAL
169,sender169@example.com,VPN gateway compromised,VPN gateway showing signs of compromise. Remote employees exposing internal network. Shut it down.,CRITICAL
170,sender170@example.com,License server down blocking all work,License server offline. All engineers blocked from using development tools. Work stopped.,CRITICAL
171,sender171@example.com,Satellite link failure,Primary satellite communication link down. Remote operations center completely isolated.,CRITICAL
172,sender172@example.com,Emergency alert system offline,Public emergency alert system offline. Cannot send warnings during active weather event.,CRITICAL
173,sender173@example.com,Hospital EHR system crashed,Electronic health records system crashed. Doctors reverting to paper. Patient safety at risk.,CRITICAL
174,sender174@example.com,Power grid monitoring system down,Power grid SCADA monitoring offline. Cannot detect faults or outages across the network.,CRITICAL
175,sender175@example.com,Biometric access system failure,Biometric entry system failed. Employees locked out of secure facilities. Operations halted.,CRITICAL
176,sender176@example.com,Trading platform halted,Automated trading platform halted due to critical error. Millions in positions unmanaged.,CRITICAL
177,sender177@example.com,Drone fleet emergency landing,All drones received erroneous emergency landing command. 200 active deliveries cancelled.,CRITICAL
178,sender178@example.com,Nuclear plant sensor network offline,Radiation monitoring sensor network offline. Safety compliance protocols require immediate fix.,CRITICAL
179,sender179@example.com,Water treatment system alert,Automated chemical dosing system throwing critical errors. Manual override required immediately.,CRITICAL
180,sender180@example.com,Traffic management system crash,City traffic management system crashed. All signals defaulting to flashing red. Gridlock forming.,CRITICAL
181,sender181@example.com,Satellite imaging pipeline down,Real time satellite imagery pipeline failed. Emergency response teams without visual data.,CRITICAL
182,sender182@example.com,All microservices returning 500,Every single microservice returning HTTP 500. Complete platform meltdown. All hands on deck.,CRITICAL
183,sender183@example.com,Customer PII exposed in API response,API bug exposing full customer PII including SSN in plain text response. Shut down endpoint now.,CRITICAL
184,sender184@example.com,Entire email marketing list leaked,Database misconfiguration exposed 2 million customer emails publicly. Legal and PR crisis.,CRITICAL
185,sender185@example.com,ERP system critical error,"ERP system throwing critical errors on all modules. Finance operations, HR and procurement all halted.",CRITICAL
186,sender186@example.com,Autonomous vehicle system failure,Fleet management system for autonomous vehicles throwing safety critical errors. Ground all vehicles.,CRITICAL
187,sender187@example.com,Production database is down,Our production database crashed. All users affected. Losing revenue every minute. Fix immediately.,CRITICAL
188,sender188@example.com,Security breach detected,Unauthorized access to our servers detected. Customer data compromised. Need immediate action.,CRITICAL
189,sender189@example.com,Website completely offline,All services unreachable. 5000 users cannot login. Emergency response needed now.,CRITICAL
190,sender190@example.com,Ransomware attack in progress,Files are being encrypted right now. All staff locked out. Need incident response immediately.,CRITICAL
191,sender191@example.com,SSL certificate expired,Our SSL certificate expired. All HTTPS traffic failing. Users getting security warnings.,CRITICAL
192,sender192@example.com,Payment processing down,All payment transactions failing. Customers cannot complete purchases. Losing $50000 per hour.,CRITICAL
193,sender193@example.com,Checkout system crashed,Entire checkout flow broken. No orders can be placed. Emergency fix needed now.,CRITICAL
194,sender194@example.com,Database corruption detected,Corrupted records found in main database. Data integrity at risk. Need DBA immediately.,CRITICAL
195,sender195@example.com,Network backbone failure,Core network switch failed. Thousands of customers without service. Escalate to level 3 now.,CRITICAL
196,sender196@example.com,Cloud infrastructure outage,All instances unreachable. Entire production environment down. Customers affected globally.,CRITICAL
197,sender197@example.com,Admin credentials leaked,Admin login credentials posted publicly online. Unauthorized logins happening right now.,CRITICAL
198,sender198@example.com,GPS tracking system offline,Entire fleet tracking system gone dark. 200 trucks untracked. Safety and legal emergency.,CRITICAL
199,sender199@example.com,Exam portal crashed during finals,Online exam system crashed mid exam for 3000 students. Need it restored in 10 minutes.,CRITICAL
200,sender200@example.com,ATM network completely down,All 500 ATMs offline. Customers cannot withdraw cash. Media already calling. Fix now.,CRITICAL
201,sender201@example.com,Live streaming platform down,Live streaming service crashed during major event with 100000 viewers. Revenue at stake.,CRITICAL
202,sender202@example.com,Medical device integration failure,Software connecting to ICU devices stopped responding. Patient monitoring affected.,CRITICAL
203,sender203@example.com,Zero day vulnerability found,Zero day exploit found in authentication system. Attackers can bypass login. Patch immediately.,CRITICAL
204,sender204@example.com,Load balancer failure,Load balancer failed causing all traffic to hit single server. System about to collapse.,CRITICAL
205,sender205@example.com,Mobile app crashing for all users,iOS and Android apps crashing on launch for 100% of users after latest update. Rollback now.,CRITICAL
206,sender206@example.com,CI CD pipeline completely broken,All deployments failing. Cannot push any fixes to production. Pipeline down for 3 hours.,CRITICAL
207,sender207@example.com,Backup system failure,Automated backups silently failing for 2 weeks. No recent backups exist. Disaster risk.,CRITICAL
208,sender208@example.com,Inventory system corrupted,Inventory database shows negative stock levels. Orders being placed for items we don't have.,CRITICAL
209,sender209@example.com,Flight booking system down,Reservation system crashed. Passengers cannot check in online. Flights departing in 2 hours.,CRITICAL
210,sender210@example.com,DDoS attack ongoing,Massive DDoS attack hitting us. Website and APIs completely unreachable. Activate incident response.,CRITICAL
211,sender211@example.com,Game servers offline during launch,Game servers crashed 30 minutes into official launch. 500000 players cannot connect.,CRITICAL
212,sender212@example.com,Core banking software failure,Core banking system in read only mode. No transactions can be processed right now.,CRITICAL
213,sender213@example.com,Insider threat detected,DLP system flagged large data exfiltration attempt from internal account. Suspend user immediately.,CRITICAL
214,sender214@example.com,SMS gateway completely down,SMS gateway down. OTP messages not delivered. All users requiring 2FA are locked out.,CRITICAL
215,sender215@example.com,Route optimization system failure,AI routing engine crashed. Drivers have no routes. 1000 deliveries at risk today.,CRITICAL
216,sender216@example.com,SCADA system breach,Industrial control system accessed by unauthorized party. Critical infrastructure at risk.,CRITICAL
217,sender217@example.com,Cooling system failure in server room,Temperature rising rapidly in server room. Cooling units failed. Hardware damage imminent.,CRITICAL
218,sender218@example.com,CDN provider major outage,CDN completely down. Website and app assets not loading for users globally.,CRITICAL
219,sender219@example.com,Multi region database failover failed,Automated failover to secondary region failed. Single point of failure with no redundancy.,CRITICAL
220,sender220@example.com,API keys exposed on GitHub,Engineer accidentally pushed live API keys to public GitHub repo. Rotate everything now.,CRITICAL
221,sender221@example.com,Kubernetes cluster unresponsive,Entire Kubernetes cluster stopped scheduling pods. All microservices degrading. Engineers needed.,CRITICAL
222,sender222@example.com,All services down after deployment,Latest deployment broke the entire platform. Millions of users affected. Rollback immediately.,CRITICAL
223,sender223@example.com,Database master node crashed,Primary database master node crashed. Replica not promoted automatically. All writes failing.,CRITICAL
224,sender224@example.com,Authentication service down,Login service completely down. No users can authenticate across any of our products.,CRITICAL
225,sender225@example.com,Critical memory leak causing crashes,Memory leak causing all servers to crash every 30 minutes. Cannot serve traffic at all.,CRITICAL
226,sender226@example.com,Firewall misconfiguration exposed data,Firewall rule change accidentally exposed our internal admin panel to the public internet.,CRITICAL
227,sender227@example.com,Production server on fire alert,Physical server in rack triggered fire suppression system. Emergency shutdown in progress.,CRITICAL
228,sender228@example.com,Email server blacklisted,Our email server IP blacklisted. No outbound emails delivering. All customer comms down.,CRITICAL
229,sender229@example.com,Entire DevOps team locked out,Permissions error locked all engineers out of codebase and deployment tools. Cannot fix anything.,CRITICAL
230,sender230@example.com,Critical data pipeline failure,Main ETL pipeline failed. Business intelligence dashboards showing stale data from 3 days ago.,CRITICAL
231,sender231@example.com,VPN gateway compromised,VPN gateway showing signs of compromise. Remote employees exposing internal network. Shut it down.,CRITICAL
232,sender232@example.com,License server down blocking all work,License server offline. All engineers blocked from using development tools. Work stopped.,CRITICAL
233,sender233@example.com,Satellite link failure,Primary satellite communication link down. Remote operations center completely isolated.,CRITICAL
234,sender234@example.com,Emergency alert system offline,Public emergency alert system offline. Cannot send warnings during active weather event.,CRITICAL
235,sender235@example.com,Hospital EHR system crashed,Electronic health records system crashed. Doctors reverting to paper. Patient safety at risk.,CRITICAL
236,sender236@example.com,Power grid monitoring system down,Power grid SCADA monitoring offline. Cannot detect faults or outages across the network.,CRITICAL
237,sender237@example.com,Biometric access system failure,Biometric entry system failed. Employees locked out of secure facilities. Operations halted.,CRITICAL
238,sender238@example.com,Trading platform halted,Automated trading platform halted due to critical error. Millions in positions unmanaged.,CRITICAL
239,sender239@example.com,Drone fleet emergency landing,All drones received erroneous emergency landing command. 200 active deliveries cancelled.,CRITICAL
240,sender240@example.com,Nuclear plant sensor network offline,Radiation monitoring sensor network offline. Safety compliance protocols require immediate fix.,CRITICAL
241,sender241@example.com,Water treatment system alert,Automated chemical dosing system throwing critical errors. Manual override required immediately.,CRITICAL
242,sender242@example.com,Traffic management system crash,City traffic management system crashed. All signals defaulting to flashing red. Gridlock forming.,CRITICAL
243,sender243@example.com,Satellite imaging pipeline down,Real time satellite imagery pipeline failed. Emergency response teams without visual data.,CRITICAL
